"Symbol";"Value";"Unit";
"CG";"Sheet metal";"";
"NO_OF_ROWS";"1";"";
"LUBRI";"Grease";"";
"SUPPLIER";"SKF";"";
"SLNG_TYPE";"Contact";"";
"BORE_D";"15";"";
"DYN_LOAD_C";"0.527";"";
"MAT_BEAR";"Stainless steel";"";
"RD_INT_CLR";"CN";"";
"TraceParts.PartTitle";"Deep groove ball bearings";"";
"COAT";"Without";"";
"TRACEPARTS";"TRACEPARTS";"";
"OUTSIDE_D";"21";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"Deep groove ball bearings";"";
"TraceParts.InstanceId";"34-21082024-0966254AOBX5IUZ4KSQU5CA4NWFLTEZ";"";
"TraceParts.PartNumber";"34-21082024-096625";"";
"WIDTH_B";"4";"";
"SLNG";"Seal on both sides";"";
"FL_SLTS";"Without";"";
"REFERENCE";"W 61702-2RS1";"";
"TraceParts.PartVersion";"1.2.1";"";
"SKF_CLASS";"-";"";
"LIM_SPEED";"19000";"";
"DESCR";"Stainless steel deep groove ball bearing with integral sealing";"";
"LCFT";"None";"";
